Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 14-Dec-2024 at 17:11:14.
Created 14-Dec-2024 17:11:14.                                                                      
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.53426E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist
 0.0750	 	 	 	 	 0.000000
 0.1000	-0.000056	-0.001165	 0.000834	 0.018537	 0.000000
 0.1250	 	 	 	 	 0.000000
 0.1500	-0.000114	-0.001255	 0.002077	 0.032609	 0.000000
 0.1750	 	 	 	 	 0.000000
 0.2000	-0.000182	-0.001631	 0.004087	 0.050186	 0.000000
 0.2250	 	 	 	 	 0.000000
 0.2500	-0.000278	-0.002389	 0.007013	 0.070386	 0.000000
 0.2750	 	 	 	 	 0.000000
 0.3000	-0.000415	-0.003364	 0.010927	 0.091009	 0.000000
 0.3250	 	 	 	 	 0.000000
 0.3500	-0.000612	-0.004830	 0.015833	 0.111341	 0.000000
 0.3750	 	 	 	 	 0.000000
 0.4000	-0.000893	-0.006776	 0.021713	 0.131240	 0.000000
 0.4250	 	 	 	 	 0.000000
 0.4500	-0.001278	-0.009156	 0.028527	 0.149901	 0.000000
 0.4750	 	 	 	 	 0.000000
 0.5000	-0.001791	-0.012033	 0.036209	 0.167145	 0.000000
 0.5250	 	 	 	 	 0.000000
 0.5500	-0.002460	-0.015555	 0.044686	 0.182762	 0.000000
 0.5750	 	 	 	 	 0.000000
 0.6000	-0.003314	-0.019624	 0.053917	 0.198189	 0.000000
 0.6250	 	 	 	 	 0.000000
 0.6500	-0.004377	-0.024161	 0.063986	 0.217134	 0.000000
 0.6750	 	 	 	 	 0.000000
 0.7000	-0.005666	-0.028864	 0.075106	 0.241090	 0.000000
 0.7250	 	 	 	 	 0.000000
 0.7500	-0.007193	-0.033966	 0.087389	 0.264955	 0.000000
 0.7750	 	 	 	 	 0.000000
 0.8000	-0.008983	-0.039596	 0.100814	 0.287997	 0.000000
 0.8250	 	 	 	 	 0.000000
 0.8500	-0.011055	-0.045447	 0.115358	 0.310800	 0.000000
 0.8750	 	 	 	 	 0.000000
 0.9000	-0.013403	-0.050809	 0.130908	 0.329405	 0.000000
 0.9250	 	 	 	 	 0.000000
 0.9500	-0.015992	-0.055211	 0.147176	 0.340686	 0.000000
 0.9750	 	 	 	 	 0.000000
 1.0000	-0.018754	-0.057744	 0.163797	 0.344727	 0.000000


 -------- Mode No.   3  (freq = 0.15655E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000000
 0.0500	 0.000088	 0.003531	-0.000002	-0.000082	 0.000000
 0.0750	 	 	 	 	 0.000000
 0.1000	 0.000380	 0.008402	-0.000006	-0.000087	 0.000000
 0.1250	 	 	 	 	 0.000000
 0.1500	 0.000977	 0.016023	 0.000000	 0.000282	 0.000000
 0.1750	 	 	 	 	 0.000000
 0.2000	 0.001972	 0.024720	 0.000022	 0.000590	 0.000000
 0.2250	 	 	 	 	 0.000000
 0.2500	 0.003388	 0.033338	 0.000056	 0.000764	 0.000000
 0.2750	 	 	 	 	 0.000000
 0.3000	 0.005201	 0.040950	 0.000096	 0.000846	 0.000000
 0.3250	 	 	 	 	 0.000000
 0.3500	 0.007303	 0.045296	 0.000133	 0.000680	 0.000000
 0.3750	 	 	 	 	 0.000000
 0.4000	 0.009525	 0.045787	 0.000158	 0.000323	 0.000000
 0.4250	 	 	 	 	 0.000000
 0.4500	 0.011642	 0.040969	 0.000161	-0.000204	 0.000000
 0.4750	 	 	 	 	 0.000000
 0.5000	 0.013360	 0.029346	 0.000135	-0.000865	 0.000000
 0.5250	 	 	 	 	 0.000000
 0.5500	 0.014290	 0.008564	 0.000075	-0.001609	 0.000000
 0.5750	 	 	 	 	 0.000000
 0.6000	 0.013963	-0.022212	-0.000022	-0.002344	 0.000000
 0.6250	 	 	 	 	 0.000000
 0.6500	 0.011873	-0.063667	-0.000154	-0.003055	 0.000000
 0.6750	 	 	 	 	 0.000000
 0.7000	 0.007531	-0.114356	-0.000320	-0.003723	 0.000000
 0.7250	 	 	 	 	 0.000000
 0.7500	 0.000409	-0.177176	-0.000510	-0.004036	 0.000000
 0.7750	 	 	 	 	 0.000000
 0.8000	-0.010132	-0.253510	-0.000699	-0.003684	 0.000000
 0.8250	 	 	 	 	 0.000000
 0.8500	-0.024702	-0.340720	-0.000854	-0.002771	 0.000000
 0.8750	 	 	 	 	 0.000000
 0.9000	-0.043586	-0.428195	-0.000954	-0.001523	 0.000000
 0.9250	 	 	 	 	 0.000000
 0.9500	-0.066567	-0.505087	-0.000984	-0.000083	 0.000000
 0.9750	 	 	 	 	 0.000000
 1.0000	-0.092690	-0.552133	-0.000953	 0.000892	 0.000000


 -------- Mode No.   4  (freq = 0.22259E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000000
 0.0500	 0.000000	-0.000021	 0.000150	 0.006023	 0.000000
 0.0750	 	 	 	 	 0.000000
 0.1000	 0.000002	 0.000116	 0.000626	 0.013373	 0.000000
 0.1250	 	 	 	 	 0.000000
 0.1500	 0.000027	 0.000835	 0.001483	 0.021678	 0.000000
 0.1750	 	 	 	 	 0.000000
 0.2000	 0.000083	 0.001398	 0.002746	 0.030019	 0.000000
 0.2250	 	 	 	 	 0.000000
 0.2500	 0.000158	 0.001645	 0.004380	 0.036898	 0.000000
 0.2750	 	 	 	 	 0.000000
 0.3000	 0.000237	 0.001522	 0.006272	 0.040687	 0.000000
 0.3250	 	 	 	 	 0.000000
 0.3500	 0.000298	 0.000934	 0.008256	 0.040676	 0.000000
 0.3750	 	 	 	 	 0.000000
 0.4000	 0.000317	-0.000139	 0.010134	 0.036372	 0.000000
 0.4250	 	 	 	 	 0.000000
 0.4500	 0.000277	-0.001527	 0.011695	 0.027659	 0.000000
 0.4750	 	 	 	 	 0.000000
 0.5000	 0.000163	-0.003102	 0.012726	 0.014600	 0.000000
 0.5250	 	 	 	 	 0.000000
 0.5500	-0.000028	-0.004641	 0.013024	-0.002452	 0.000000
 0.5750	 	 	 	 	 0.000000
 0.6000	-0.000280	-0.005586	 0.012354	-0.025154	 0.000000
 0.6250	 	 	 	 	 0.000000
 0.6500	-0.000550	-0.005385	 0.010251	-0.061113	 0.000000
 0.6750	 	 	 	 	 0.000000
 0.7000	-0.000773	-0.003636	 0.005872	-0.118068	 0.000000
 0.7250	 	 	 	 	 0.000000
 0.7500	-0.000854	 0.000383	-0.001600	-0.187440	 0.000000
 0.7750	 	 	 	 	 0.000000
 0.8000	-0.000657	 0.007654	-0.012730	-0.267215	 0.000000
 0.8250	 	 	 	 	 0.000000
 0.8500	-0.000018	 0.018019	-0.028077	-0.358585	 0.000000
 0.8750	 	 	 	 	 0.000000
 0.9000	 0.001175	 0.029848	-0.047729	-0.442467	 0.000000
 0.9250	 	 	 	 	 0.000000
 0.9500	 0.002959	 0.041386	-0.070780	-0.498295	 0.000000
 0.9750	 	 	 	 	 0.000000
 1.0000	 0.005228	 0.048800	-0.095647	-0.519633	 0.000000


 -------- Mode No.   5  (freq = 0.31508E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000000
 0.0500	 0.000110	 0.004385	-0.000005	-0.000190	 0.000000
 0.0750	 	 	 	 	 0.000000
 0.1000	 0.000462	 0.009895	-0.000016	-0.000297	 0.000000
 0.1250	 	 	 	 	 0.000000
 0.1500	 0.001133	 0.017371	-0.000024	-0.000046	 0.000000
 0.1750	 	 	 	 	 0.000000
 0.2000	 0.002152	 0.024114	-0.000022	 0.000076	 0.000000
 0.2250	 	 	 	 	 0.000000
 0.2500	 0.003436	 0.028154	-0.000019	 0.000019	 0.000000
 0.2750	 	 	 	 	 0.000000
 0.3000	 0.004806	 0.027624	-0.000023	-0.000201	 0.000000
 0.3250	 	 	 	 	 0.000000
 0.3500	 0.006012	 0.021434	-0.000041	-0.000542	 0.000000
 0.3750	 	 	 	 	 0.000000
 0.4000	 0.006744	 0.008263	-0.000078	-0.000965	 0.000000
 0.4250	 	 	 	 	 0.000000
 0.4500	 0.006686	-0.010839	-0.000134	-0.001312	 0.000000
 0.4750	 	 	 	 	 0.000000
 0.5000	 0.005569	-0.034861	-0.000203	-0.001479	 0.000000
 0.5250	 	 	 	 	 0.000000
 0.5500	 0.003204	-0.061505	-0.000273	-0.001364	 0.000000
 0.5750	 	 	 	 	 0.000000
 0.6000	-0.000371	-0.083770	-0.000326	-0.000766	 0.000000
 0.6250	 	 	 	 	 0.000000
 0.6500	-0.004736	-0.093280	-0.000331	 0.000598	 0.000000
 0.6750	 	 	 	 	 0.000000
 0.7000	-0.009030	-0.080630	-0.000244	 0.002901	 0.000000
 0.7250	 	 	 	 	 0.000000
 0.7500	-0.011892	-0.034957	-0.000037	 0.005456	 0.000000
 0.7750	 	 	 	 	 0.000000
 0.8000	-0.011367	 0.056224	 0.000283	 0.007451	 0.000000
 0.8250	 	 	 	 	 0.000000
 0.8500	-0.005022	 0.198609	 0.000676	 0.008476	 0.000000
 0.8750	 	 	 	 	 0.000000
 0.9000	 0.009332	 0.376003	 0.001077	 0.008045	 0.000000
 0.9250	 	 	 	 	 0.000000
 0.9500	 0.032822	 0.558612	 0.001403	 0.005897	 0.000000
 0.9750	 	 	 	 	 0.000000
 1.0000	 0.064293	 0.682735	 0.001611	 0.003776	 0.000000


 -------- Mode No.   6  (freq = 0.44815E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000000
 0.0500	 0.000007	 0.000275	 0.000242	 0.009559	 0.000000
 0.0750	 	 	 	 	 0.000000
 0.1000	 0.000035	 0.000831	 0.000969	 0.019801	 0.000000
 0.1250	 	 	 	 	 0.000000
 0.1500	 0.000109	 0.002054	 0.002173	 0.029088	 0.000000
 0.1750	 	 	 	 	 0.000000
 0.2000	 0.000227	 0.002659	 0.003748	 0.034952	 0.000000
 0.2250	 	 	 	 	 0.000000
 0.2500	 0.000352	 0.002350	 0.005462	 0.034783	 0.000000
 0.2750	 	 	 	 	 0.000000
 0.3000	 0.000433	 0.000906	 0.006989	 0.027319	 0.000000
 0.3250	 	 	 	 	 0.000000
 0.3500	 0.000427	-0.001139	 0.007979	 0.012874	 0.000000
 0.3750	 	 	 	 	 0.000000
 0.4000	 0.000308	-0.003671	 0.008116	-0.007572	 0.000000
 0.4250	 	 	 	 	 0.000000
 0.4500	 0.000075	-0.005750	 0.007171	-0.031282	 0.000000
 0.4750	 	 	 	 	 0.000000
 0.5000	-0.000233	-0.006610	 0.005058	-0.055240	 0.000000
 0.5250	 	 	 	 	 0.000000
 0.5500	-0.000531	-0.005340	 0.001854	-0.075870	 0.000000
 0.5750	 	 	 	 	 0.000000
 0.6000	-0.000698	-0.001355	-0.002233	-0.091127	 0.000000
 0.6250	 	 	 	 	 0.000000
 0.6500	-0.000611	 0.004879	-0.006859	-0.097044	 0.000000
 0.6750	 	 	 	 	 0.000000
 0.7000	-0.000203	 0.011451	-0.011188	-0.077901	 0.000000
 0.7250	 	 	 	 	 0.000000
 0.7500	 0.000481	 0.015740	-0.013625	-0.020082	 0.000000
 0.7750	 	 	 	 	 0.000000
 0.8000	 0.001210	 0.013041	-0.012033	 0.084682	 0.000000
 0.8250	 	 	 	 	 0.000000
 0.8500	 0.001514	-0.000981	-0.003841	 0.244784	 0.000000
 0.8750	 	 	 	 	 0.000000
 0.9000	 0.000809	-0.026412	 0.012811	 0.423746	 0.000000
 0.9250	 	 	 	 	 0.000000
 0.9500	-0.001400	-0.058926	 0.037295	 0.560591	 0.000000
 0.9750	 	 	 	 	 0.000000
 1.0000	-0.005131	-0.083516	 0.066463	 0.617802	 0.000000


 -------- Mode No.   7  (freq = 0.54136E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000000
 0.0500	 0.000156	 0.006113	-0.000012	-0.000477	 0.000000
 0.0750	 	 	 	 	 0.000000
 0.1000	 0.000628	 0.012900	-0.000044	-0.000820	 0.000000
 0.1250	 	 	 	 	 0.000000
 0.1500	 0.001450	 0.020191	-0.000081	-0.000744	 0.000000
 0.1750	 	 	 	 	 0.000000
 0.2000	 0.002538	 0.023743	-0.000117	-0.000782	 0.000000
 0.2250	 	 	 	 	 0.000000
 0.2500	 0.003645	 0.020985	-0.000158	-0.000876	 0.000000
 0.2750	 	 	 	 	 0.000000
 0.3000	 0.004418	 0.010054	-0.000204	-0.001019	 0.000000
 0.3250	 	 	 	 	 0.000000
 0.3500	 0.004506	-0.006712	-0.000252	-0.000901	 0.000000
 0.3750	 	 	 	 	 0.000000
 0.4000	 0.003643	-0.028418	-0.000288	-0.000514	 0.000000
 0.4250	 	 	 	 	 0.000000
 0.4500	 0.001750	-0.048272	-0.000295	 0.000302	 0.000000
 0.4750	 	 	 	 	 0.000000
 0.5000	-0.000922	-0.059562	-0.000252	 0.001510	 0.000000
 0.5250	 	 	 	 	 0.000000
 0.5500	-0.003743	-0.053805	-0.000144	 0.002940	 0.000000
 0.5750	 	 	 	 	 0.000000
 0.6000	-0.005697	-0.024447	 0.000035	 0.004315	 0.000000
 0.6250	 	 	 	 	 0.000000
 0.6500	-0.005633	 0.027096	 0.000269	 0.005110	 0.000000
 0.6750	 	 	 	 	 0.000000
 0.7000	-0.002797	 0.086152	 0.000501	 0.004192	 0.000000
 0.7250	 	 	 	 	 0.000000
 0.7500	 0.002659	 0.130408	 0.000624	 0.000710	 0.000000
 0.7750	 	 	 	 	 0.000000
 0.8000	 0.009014	 0.120128	 0.000513	-0.005039	 0.000000
 0.8250	 	 	 	 	 0.000000
 0.8500	 0.012304	 0.008087	 0.000087	-0.011824	 0.000000
 0.8750	 	 	 	 	 0.000000
 0.9000	 0.006857	-0.222122	-0.000622	-0.016588	 0.000000
 0.9250	 	 	 	 	 0.000000
 0.9500	-0.012678	-0.533651	-0.001421	-0.016332	 0.000000
 0.9750	 	 	 	 	 0.000000
 1.0000	-0.047321	-0.781317	-0.002104	-0.013347	 0.000000


 -------- Mode No.   8  (freq = 0.77363E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000000
 0.0500	-0.000048	-0.001838	-0.000290	-0.011228	 0.000000
 0.0750	 	 	 	 	 0.000000
 0.1000	-0.000191	-0.003871	-0.001102	-0.021225	 0.000000
 0.1250	 	 	 	 	 0.000000
 0.1500	-0.000436	-0.005775	-0.002299	-0.026916	 0.000000
 0.1750	 	 	 	 	 0.000000
 0.2000	-0.000713	-0.005252	-0.003588	-0.025023	 0.000000
 0.2250	 	 	 	 	 0.000000
 0.2500	-0.000894	-0.001963	-0.004559	-0.014054	 0.000000
 0.2750	 	 	 	 	 0.000000
 0.3000	-0.000847	 0.003880	-0.004815	 0.003892	 0.000000
 0.3250	 	 	 	 	 0.000000
 0.3500	-0.000517	 0.009382	-0.004113	 0.024763	 0.000000
 0.3750	 	 	 	 	 0.000000
 0.4000	 0.000042	 0.012973	-0.002425	 0.043745	 0.000000
 0.4250	 	 	 	 	 0.000000
 0.4500	 0.000664	 0.011835	 0.000007	 0.054863	 0.000000
 0.4750	 	 	 	 	 0.000000
 0.5000	 0.001081	 0.004753	 0.002690	 0.053845	 0.000000
 0.5250	 	 	 	 	 0.000000
 0.5500	 0.001011	-0.007524	 0.004977	 0.038887	 0.000000
 0.5750	 	 	 	 	 0.000000
 0.6000	 0.000326	-0.019463	 0.006156	 0.008981	 0.000000
 0.6250	 	 	 	 	 0.000000
 0.6500	-0.000754	-0.022912	 0.005317	-0.042290	 0.000000
 0.6750	 	 	 	 	 0.000000
 0.7000	-0.001633	-0.011414	 0.001491	-0.109530	 0.000000
 0.7250	 	 	 	 	 0.000000
 0.7500	-0.001526	 0.015624	-0.005008	-0.147674	 0.000000
 0.7750	 	 	 	 	 0.000000
 0.8000	 0.000067	 0.045613	-0.011595	-0.111756	 0.000000
 0.8250	 	 	 	 	 0.000000
 0.8500	 0.002521	 0.047797	-0.013334	 0.045259	 0.000000
 0.8750	 	 	 	 	 0.000000
 0.9000	 0.003531	-0.009970	-0.004452	 0.305037	 0.000000
 0.9250	 	 	 	 	 0.000000
 0.9500	-0.000282	-0.132386	 0.017367	 0.552796	 0.000000
 0.9750	 	 	 	 	 0.000000
 1.0000	-0.010835	-0.249492	 0.048315	 0.670563	 0.000000


 -------- Mode No.   9  (freq = 0.82325E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000000
 0.0500	-0.000183	-0.007063	 0.000039	 0.001502	 0.000000
 0.0750	 	 	 	 	 0.000000
 0.1000	-0.000704	-0.013721	 0.000142	 0.002644	 0.000000
 0.1250	 	 	 	 	 0.000000
 0.1500	-0.001508	-0.018303	 0.000281	 0.002981	 0.000000
 0.1750	 	 	 	 	 0.000000
 0.2000	-0.002370	-0.016184	 0.000421	 0.002724	 0.000000
 0.2250	 	 	 	 	 0.000000
 0.2500	-0.002927	-0.006018	 0.000529	 0.001630	 0.000000
 0.2750	 	 	 	 	 0.000000
 0.3000	-0.002799	 0.011388	 0.000570	-0.000055	 0.000000
 0.3250	 	 	 	 	 0.000000
 0.3500	-0.001805	 0.028733	 0.000511	-0.002391	 0.000000
 0.3750	 	 	 	 	 0.000000
 0.4000	-0.000070	 0.040839	 0.000335	-0.004816	 0.000000
 0.4250	 	 	 	 	 0.000000
 0.4500	 0.001925	 0.038881	 0.000052	-0.006691	 0.000000
 0.4750	 	 	 	 	 0.000000
 0.5000	 0.003361	 0.018249	-0.000293	-0.007283	 0.000000
 0.5250	 	 	 	 	 0.000000
 0.5500	 0.003324	-0.019765	-0.000623	-0.006003	 0.000000
 0.5750	 	 	 	 	 0.000000
 0.6000	 0.001327	-0.058911	-0.000827	-0.002208	 0.000000
 0.6250	 	 	 	 	 0.000000
 0.6500	-0.002047	-0.073320	-0.000751	 0.005211	 0.000000
 0.6750	 	 	 	 	 0.000000
 0.7000	-0.004956	-0.040136	-0.000235	 0.015188	 0.000000
 0.7250	 	 	 	 	 0.000000
 0.7500	-0.004845	 0.044794	 0.000670	 0.020408	 0.000000
 0.7750	 	 	 	 	 0.000000
 0.8000	 0.000059	 0.143869	 0.001546	 0.013999	 0.000000
 0.8250	 	 	 	 	 0.000000
 0.8500	 0.007989	 0.157038	 0.001684	-0.008480	 0.000000
 0.8750	 	 	 	 	 0.000000
 0.9000	 0.011413	-0.031255	 0.000429	-0.040607	 0.000000
 0.9250	 	 	 	 	 0.000000
 0.9500	-0.001267	-0.445038	-0.002227	-0.064402	 0.000000
 0.9750	 	 	 	 	 0.000000
 1.0000	-0.037140	-0.850767	-0.005554	-0.070314	 0.000000


 -------- Mode No.  10  (freq = 0.11540E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000000
 0.0500	-0.000222	-0.008410	-0.000085	-0.003204	 0.000000
 0.0750	 	 	 	 	 0.000000
 0.1000	-0.000814	-0.014900	-0.000307	-0.005560	 0.000000
 0.1250	 	 	 	 	 0.000000
 0.1500	-0.001596	-0.015853	-0.000594	-0.005762	 0.000000
 0.1750	 	 	 	 	 0.000000
 0.2000	-0.002173	-0.006869	-0.000808	-0.002746	 0.000000
 0.2250	 	 	 	 	 0.000000
 0.2500	-0.002102	 0.009848	-0.000812	 0.002594	 0.000000
 0.2750	 	 	 	 	 0.000000
 0.3000	-0.001146	 0.028183	-0.000544	 0.008097	 0.000000
 0.3250	 	 	 	 	 0.000000
 0.3500	 0.000469	 0.035996	-0.000064	 0.011135	 0.000000
 0.3750	 	 	 	 	 0.000000
 0.4000	 0.002050	 0.026421	 0.000469	 0.010190	 0.000000
 0.4250	 	 	 	 	 0.000000
 0.4500	 0.002695	-0.001097	 0.000848	 0.005026	 0.000000
 0.4750	 	 	 	 	 0.000000
 0.5000	 0.001750	-0.035904	 0.000901	-0.002860	 0.000000
 0.5250	 	 	 	 	 0.000000
 0.5500	-0.000619	-0.056038	 0.000562	-0.010650	 0.000000
 0.5750	 	 	 	 	 0.000000
 0.6000	-0.003008	-0.036005	-0.000101	-0.015829	 0.000000
 0.6250	 	 	 	 	 0.000000
 0.6500	-0.003308	 0.024777	-0.000891	-0.015459	 0.000000
 0.6750	 	 	 	 	 0.000000
 0.7000	-0.000443	 0.084642	-0.001369	-0.003081	 0.000000
 0.7250	 	 	 	 	 0.000000
 0.7500	 0.003929	 0.080002	-0.000955	 0.019360	 0.000000
 0.7750	 	 	 	 	 0.000000
 0.8000	 0.005169	-0.034650	 0.000554	 0.039034	 0.000000
 0.8250	 	 	 	 	 0.000000
 0.8500	-0.000796	-0.184547	 0.002403	 0.030802	 0.000000
 0.8750	 	 	 	 	 0.000000
 0.9000	-0.009758	-0.136439	 0.002519	-0.028200	 0.000000
 0.9250	 	 	 	 	 0.000000
 0.9500	-0.005247	 0.306772	-0.001252	-0.116178	 0.000000
 0.9750	 	 	 	 	 0.000000
 1.0000	 0.029753	 0.882867	-0.008877	-0.172664	 0.000000


 -------- Mode No.  11  (freq = 0.12021E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000000
 0.0500	 0.000117	 0.004410	-0.000375	-0.014128	 0.000000
 0.0750	 	 	 	 	 0.000000
 0.1000	 0.000416	 0.007403	-0.001326	-0.023363	 0.000000
 0.1250	 	 	 	 	 0.000000
 0.1500	 0.000792	 0.007468	-0.002491	-0.022947	 0.000000
 0.1750	 	 	 	 	 0.000000
 0.2000	 0.001063	 0.003261	-0.003338	-0.010795	 0.000000
 0.2250	 	 	 	 	 0.000000
 0.2500	 0.001034	-0.004543	-0.003353	 0.010330	 0.000000
 0.2750	 	 	 	 	 0.000000
 0.3000	 0.000593	-0.013124	-0.002306	 0.031825	 0.000000
 0.3250	 	 	 	 	 0.000000
 0.3500	-0.000173	-0.017363	-0.000385	 0.045264	 0.000000
 0.3750	 	 	 	 	 0.000000
 0.4000	-0.000957	-0.013612	 0.001835	 0.043690	 0.000000
 0.4250	 	 	 	 	 0.000000
 0.4500	-0.001328	-0.000954	 0.003543	 0.024552	 0.000000
 0.4750	 	 	 	 	 0.000000
 0.5000	-0.000942	 0.016134	 0.003960	-0.008020	 0.000000
 0.5250	 	 	 	 	 0.000000
 0.5500	 0.000175	 0.027275	 0.002676	-0.043491	 0.000000
 0.5750	 	 	 	 	 0.000000
 0.6000	 0.001386	 0.019356	-0.000182	-0.070543	 0.000000
 0.6250	 	 	 	 	 0.000000
 0.6500	 0.001645	-0.009642	-0.003813	-0.072582	 0.000000
 0.6750	 	 	 	 	 0.000000
 0.7000	 0.000333	-0.040422	-0.006116	-0.016344	 0.000000
 0.7250	 	 	 	 	 0.000000
 0.7500	-0.001830	-0.040900	-0.004277	 0.088209	 0.000000
 0.7750	 	 	 	 	 0.000000
 0.8000	-0.002561	 0.014409	 0.002516	 0.172800	 0.000000
 0.8250	 	 	 	 	 0.000000
 0.8500	 0.000338	 0.092242	 0.010363	 0.123495	 0.000000
 0.8750	 	 	 	 	 0.000000
 0.9000	 0.004935	 0.071401	 0.010186	-0.134982	 0.000000
 0.9250	 	 	 	 	 0.000000
 0.9500	 0.002694	-0.158134	-0.005671	-0.471780	 0.000000
 0.9750	 	 	 	 	 0.000000
 1.0000	-0.015666	-0.464787	-0.034880	-0.651474	 0.000000


 -------- Mode No.  12  (freq = 0.15531E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000000
 0.0500	-0.000253	-0.009379	-0.000036	-0.001338	 0.000000
 0.0750	 	 	 	 	 0.000000
 0.1000	-0.000870	-0.014599	-0.000126	-0.002146	 0.000000
 0.1250	 	 	 	 	 0.000000
 0.1500	-0.001515	-0.010320	-0.000220	-0.001459	 0.000000
 0.1750	 	 	 	 	 0.000000
